t_s,wall_time,frame,tier,theta_deg,x_mm,y_mm,n_c,n_r,mad_h,mad_v,fps
1.9782,1789123614.279,21157,junction,2.193,-11.333,0.874,44,32,0.188,0.313,110.5
1.9861,1789123614.287,21158,junction,2.201,-11.334,0.872,44,32,0.188,0.188,111.7
1.9944,1789123614.295,21159,junction,2.185,-11.333,0.87,44,32,0.313,0.313,112.8
2.0028,1789123614.304,21160,junction,2.213,-11.33,0.875,43,32,0.188,0.188,112.8
2.0112,1789123614.312,21161,junction,2.223,-11.33,0.876,44,32,0.188,0.188,113.9
2.0200,1789123614.321,21162,junction,2.188,-11.334,0.876,44,32,0.188,0.313,114.6
2.0282,1789123614.329,21163,junction,2.2,-11.333,0.873,43,32,0.188,0.188,114.4
2.0360,1789123614.337,21164,junction,2.194,-11.331,0.872,43,32,0.313,0.188,115.2
2.0452,1789123614.346,21165,junction,2.191,-11.34,0.874,44,32,0.188,0.313,116.0
2.0528,1789123614.354,21166,junction,2.193,-11.331,0.872,45,32,0.188,0.313,115.8
2.0607,1789123614.362,21167,junction,2.184,-11.334,0.872,44,32,0.313,0.313,116.5
2.0704,1789123614.371,21168,junction,2.196,-11.332,0.872,44,32,0.188,0.313,117.2
2.0782,1789123614.379,21169,junction,2.192,-11.334,0.871,44,32,0.188,0.313,116.7
2.0860,1789123614.387,21170,junction,2.189,-11.333,0.873,44,32,0.188,0.313,117.3
2.0955,1789123614.396,21171,junction,2.189,-11.334,0.872,45,32,0.188,0.313,117.9
2.1034,1789123614.404,21172,junction,2.182,-11.334,0.875,44,32,0.313,0.313,117.5
2.1120,1789123614.413,21173,junction,2.197,-11.334,0.876,44,32,0.188,0.313,118.1
2.1195,1789123614.420,21174,junction,2.189,-11.334,0.875,44,32,0.188,0.313,118.7
2.1281,1789123614.429,21175,junction,2.195,-11.333,0.872,43,32,0.188,0.188,118.1
2.1363,1789123614.437,21176,junction,2.191,-11.336,0.875,44,32,0.188,0.313,118.4
2.1449,1789123614.446,21177,junction,2.195,-11.337,0.873,44,32,0.188,0.188,118.8
2.1533,1789123614.454,21178,junction,2.202,-11.337,0.875,43,32,0.188,0.313,118.2
2.1652,1789123614.466,21179,junction,2.221,-11.331,0.872,44,32,0.188,0.188,118.7
2.1826,1789123614.483,21180,junction,2.216,-11.377,0.889,106,71,0.188,0.188,113.5
2.1906,1789123614.491,21181,junction,2.206,-11.334,0.875,44,32,0.188,0.188,104.1
2.2025,1789123614.503,21182,junction,2.206,-11.337,0.872,43,32,0.188,0.188,105.6
2.2080,1789123614.509,21183,junction,2.201,-11.334,0.872,44,32,0.188,0.313,107.1
2.2160,1789123614.517,21184,junction,2.21,-11.334,0.872,44,32,0.188,0.188,107.8
2.2236,1789123614.524,21185,junction,2.207,-11.336,0.875,44,32,0.313,0.188,109.1
2.2328,1789123614.534,21186,junction,2.218,-11.334,0.877,43,32,0.188,0.188,110.3
2.2408,1789123614.542,21187,junction,2.195,-11.331,0.872,43,32,0.188,0.313,110.5
2.2574,1789123614.558,21188,junction,2.216,-11.337,0.875,44,32,0.188,0.188,111.7
2.2580,1789123614.559,21189,junction,2.218,-11.336,0.873,43,32,0.188,0.188,112.8
2.2670,1789123614.568,21190,junction,2.192,-11.334,0.875,44,32,0.313,0.313,112.8
2.2742,1789123614.575,21191,junction,2.193,-11.337,0.875,43,32,0.188,0.313,113.8
2.2828,1789123614.584,21192,junction,2.209,-11.334,0.872,43,32,0.313,0.188,114.5
2.2911,1789123614.592,21193,junction,2.225,-11.333,0.872,44,32,0.188,0.188,114.3
2.2991,1789123614.600,21194,junction,2.221,-11.332,0.875,44,32,0.188,0.188,115.2
2.3084,1789123614.609,21195,junction,2.217,-11.331,0.876,44,32,0.188,0.188,115.9
2.3163,1789123614.617,21196,junction,2.198,-11.334,0.874,44,32,0.188,0.313,115.7
2.3271,1789123614.628,21197,junction,2.202,-11.334,0.875,43,32,0.188,0.313,116.5
2.3331,1789123614.634,21198,junction,2.198,-11.334,0.875,43,32,0.188,0.188,117.1
2.3410,1789123614.642,21199,junction,2.213,-11.33,0.875,44,32,0.313,0.188,116.5
2.3518,1789123614.653,21200,junction,2.197,-11.334,0.872,43,32,0.188,0.313,117.2
2.3592,1789123614.660,21201,junction,2.222,-11.333,0.872,44,32,0.188,0.188,117.8
2.3658,1789123614.667,21202,junction,2.207,-11.333,0.872,44,32,0.313,0.188,117.4
2.3748,1789123614.676,21203,junction,2.19,-11.333,0.875,43,32,0.188,0.313,118.0
2.3843,1789123614.685,21204,junction,2.187,-11.336,0.872,45,32,0.313,0.188,118.5
2.3914,1789123614.692,21205,junction,2.219,-11.331,0.872,44,32,0.188,0.188,117.9
2.3998,1789123614.701,21206,junction,2.198,-11.333,0.875,44,32,0.188,0.188,118.2
2.4091,1789123614.710,21207,junction,2.217,-11.333,0.872,44,32,0.188,0.188,118.6
2.4168,1789123614.718,21208,junction,2.198,-11.334,0.872,43,32,0.188,0.313,118.0
2.4252,1789123614.726,21209,junction,2.195,-11.331,0.874,44,32,0.188,0.313,118.5
2.4459,1789123614.747,21210,junction,2.214,-11.378,0.887,108,71,0.188,0.188,113.3
2.4540,1789123614.755,21211,junction,2.22,-11.334,0.875,44,32,0.188,0.188,103.9
2.4620,1789123614.763,21212,junction,2.173,-11.335,0.875,45,32,0.313,0.313,105.5
2.4708,1789123614.772,21213,junction,2.192,-11.334,0.875,43,32,0.188,0.313,107.0
2.4789,1789123614.780,21214,junction,2.202,-11.336,0.872,43,32,0.188,0.188,107.6
2.4869,1789123614.788,21215,junction,2.195,-11.334,0.874,43,32,0.313,0.188,108.9
2.4960,1789123614.797,21216,junction,2.206,-11.334,0.873,43,32,0.313,0.188,110.1
2.5073,1789123614.808,21217,junction,2.205,-11.34,0.874,44,32,0.313,0.188,108.8
2.5133,1789123614.814,21218,junction,2.218,-11.337,0.872,43,32,0.188,0.188,110.2
2.5260,1789123614.827,21219,junction,2.206,-11.334,0.876,43,32,0.313,0.188,111.4
2.5341,1789123614.835,21220,junction,2.208,-11.336,0.875,43,32,0.313,0.188,111.6
2.5404,1789123614.841,21221,junction,2.222,-11.334,0.872,43,32,0.188,0.188,112.6
2.5485,1789123614.849,21222,junction,2.209,-11.34,0.874,43,32,0.188,0.188,113.4
2.5557,1789123614.856,21223,junction,2.2,-11.336,0.875,43,32,0.188,0.313,113.3
2.5636,1789123614.864,21224,junction,2.199,-11.334,0.875,44,32,0.188,0.188,114.3
