frame,t_s,theta_m1,theta,heading_raw,heading,rate_dps,tier,x_to_next_mm,y_offset_mm,travel_mm,otsu,sharpness,jump_rejected,fit_residual_px
131,4.3230,3.4635,3.2852,0.2333,0.9459,-8.19,1,65.052,-5.686,93.42,46,11.0,0,0.195
132,4.3560,2.3210,2.3986,-0.6533,0.0776,-11.42,1,-3.719,-6.434,82.19,47,10.4,0,0.219
133,4.3890,2.0448,2.2599,-0.7921,-0.5210,-12.61,1,7.358,-6.321,71.12,41,11.4,0,0.260
134,4.4220,1.8444,1.7666,-1.2854,-1.0938,-13.45,1,17.225,-5.331,61.25,35,8.5,0,0.089
135,4.4550,2.6140,1.7206,-1.3313,-1.4449,-12.95,2,24.390,-3.910,54.09,28,8.6,0,0.195
136,4.4880,3.4430,0.8833,-2.1686,-2.0057,-13.67,2,30.188,-2.384,48.29,27,10.8,0,0.193
137,4.5210,3.6966,2.3056,-0.7463,-1.6871,-9.53,2,37.770,-0.993,40.71,28,11.1,0,0.087
138,4.5540,3.6538,1.8276,-1.2243,-1.6517,-7.64,3,,0.327,40.71,30,15.5,0,0.092
139,4.5870,4.2109,1.7093,-1.3426,-1.6513,-6.28,2,39.108,0.576,39.37,31,15.3,0,0.146
140,4.6200,4.1401,1.9476,-1.1044,-1.5192,-4.45,2,39.108,0.567,39.37,31,16.0,0,0.117
141,4.6530,4.0710,2.2074,-0.8445,-1.2964,-2.46,2,39.108,0.566,39.37,31,15.8,0,0.114
142,4.6860,4.0473,2.2180,-0.8339,-1.1329,-1.14,2,39.108,0.566,39.37,31,15.8,0,0.109
143,4.7190,4.0560,2.2212,-0.8307,-1.0177,-0.32,2,39.108,0.566,39.37,31,15.8,0,0.112
144,4.7520,4.0660,2.2050,-0.8469,-0.9466,0.12,2,39.108,0.566,39.37,31,16.0,0,0.119
145,4.7850,4.1419,1.9215,-1.1304,-1.0271,-0.33,2,39.108,0.545,39.37,31,15.3,0,0.118
146,4.8180,4.1590,1.9238,-1.1281,-1.0786,-0.55,2,39.108,0.535,39.37,31,15.3,0,0.115
147,4.8510,4.0996,2.1922,-0.8597,-0.9901,0.02,2,39.108,0.525,39.37,31,15.5,0,0.093
148,4.8840,4.1362,2.1952,-0.8567,-0.9297,0.34,2,39.108,0.511,39.37,31,15.7,0,0.102
149,4.9170,4.0988,2.1943,-0.8576,-0.8910,0.49,2,39.108,0.507,39.37,31,15.2,0,0.099
150,4.9500,4.0726,2.1821,-0.8698,-0.8726,0.50,2,39.108,0.515,39.37,31,15.3,0,0.093
151,4.9830,4.0535,2.1910,-0.8609,-0.8582,0.49,2,39.108,0.513,39.37,31,15.3,0,0.083
152,5.0160,4.1191,2.1981,-0.8539,-0.8473,0.46,2,39.108,0.512,39.37,31,15.6,0,0.100
153,5.0490,4.1025,2.1875,-0.8645,-0.8466,0.38,2,39.108,0.519,39.37,31,15.4,0,0.098
